ID,ADDRESS,TERMINAL_NUMBER,LATITUDE,LONGITUDE,NUMBER_OF_BIKES,NUMBER_OF_EMPTY_DOCKS
47,7th & T St NW,31109,38.9155,-77.0222,13,1
48,Eads St & 22nd St S,31013,38.854381,-77.053412,11,4
49,M St & New Jersey Ave SE,31208,38.8763,-77.0037,14,1
51,Massachusetts Ave & Dupont Circle NW,31200,38.9101,-77.0444,27,15
52,1st & M St NE,31603,38.9057,-77.0056,5,10
53,New Hampshire Ave & Ward Pl NW,31212,38.905711,-77.047318,16,3
54,17th & K St NW,31213,38.90276,-77.03863,15,7
55,3rd & H St NW,31604,38.899408,-77.015289,13,2
56,3rd & D St SE,31605,38.8851,-77.0023,4,6
57,Potomac & Pennsylvania Ave SE,31606,38.8803,-76.9862,5,10
58,13th & E St SE,31607,38.882915,-76.987907,5,10
59,17th & Corcoran St NW,31214,38.9121,-77.0387,6,12
60,Van Ness Metro / UDC,31300,38.944551,-77.063896,9,6
61,Florida Ave & R St NW,31503,38.9126,-77.0135,13,1
62,8th & Eye St SE / Barracks Row,31608,38.8792,-76.9953,7,4
63,Ward Circle / American University,31301,38.938736,-77.087171,4,9
64,Wisconsin Ave & Newark St NW,31302,38.934881,-77.072755,9,10
65,14th St Heights / 14th & Crittenden St NW,31402,38.947774,-77.032818,6,4
66,Anacostia Library,31804,38.865784,-76.9784,3,8
67,Pennsylvania & Minnesota Ave SE,31805,38.873057,-76.971015,8,3
68,Eastern Market / 7th & North Carolina Ave SE,31610,38.886952,-76.996806,5,10
69,14th St & New York Ave NW,31216,38.899632,-77.031686,8,15
70,Benning Branch Library,31705,38.894,-76.947974,5,6
71,USDA / 12th & C St SW,31217,38.886277,-77.028242,20,19
72,Georgetown Harbor / 30th St NW,31215,38.902221,-77.059219,4,15
73,12th & Newton St NE,31501,38.933668,-76.991016,7,4
74,US Dept of State / Virginia Ave & 21st St NW,31220,38.894919,-77.046587,6,9
75,L'Enfant Plaza / 7th & C St SW,31218,38.886266,-77.022241,6,9
76,10th St & Constitution Ave NW,31219,38.893028,-77.026013,11,20
77,Kennedy Center,31211,38.897293,-77.05557,7,11
